id,skey_id,email,phone,name,gender,dob,street_addr,zip_code,state,country,alt_email,registered_dt,updated_dt,validated_flag
CID00001,1,Bockman_1@mail.com,0229116393,Eli Bockman,Male,1980-12-16,6 Meadow Vale Court,2153,New South Wales,Australia,,2022-12-27 00:09:28,2022-12-27 00:09:28,True
CID00002,2,Calton_2@mail.com,0357303004,Sheila-kathryn Calton,Female,1977-05-13,17979 Del Mar Point,2448,New South Wales,Australia,,2022-12-27 00:37:38,2022-12-27 00:37:38,True
CID00003,3,Merali_3@mail.com,0359821528,Fina Merali,Female,1976-02-23,4 Delaware Trail,2210,New South Wales,Australia,,2022-12-27 00:40:27,2022-12-27 00:40:27,True
CID00004,4,Lind_4@mail.com,0359191980,Mala Lind,Female,1973-03-10,97736 7th Trail,2023,New South Wales,Australia,,2022-12-27 02:07:59,2022-12-27 02:07:59,True
CID00005,5,Flattman_5@mail.com,0352682613,Sawyere Flattman,Male,1994-07-21,44339 Golden Leaf Alley,4557,Queensland,Australia,,2022-12-27 03:57:24,2022-12-27 03:57:24,True
CID00006,6,Kitteman_6@mail.com,0304076754,Rayshell Kitteman,Female,1983-03-25,9 Mcbride Trail,2760,New South Wales,Australia,,2022-12-27 04:01:26,2022-12-27 04:01:26,True
CID00007,7,Radage_7@mail.com,0213180742,Erroll Radage,Male,2000-07-13,9861 New Castle Avenue,2428,New South Wales,Australia,,2022-12-27 04:30:48,2022-12-27 04:30:48,True
CID00008,8,Parr_8@mail.com,0358928994,Harlin Parr,Male,1977-02-27,52 Moland Street,3331,Victoria,Australia,,2022-12-27 05:22:51,2022-12-27 05:22:51,True
CID00009,9,Neasham_9@mail.com,0359635727,Marjie Neasham,Female,1967-07-06,092 2nd Alley,2135,New South Wales,Australia,,2022-12-27 06:03:16,2022-12-27 06:03:16,True
CID00010,10,Keyson_10@mail.com,0354689763,Sorcha Keyson,Female,2001-04-15,59 Spaight Circle,2233,New South Wales,Australia,,2022-12-27 06:05:30,2022-12-27 06:05:30,True
CID00011,11,Firth_11@mail.com,0224254270,Basile Firth,Male,1980-08-13,032 Bartelt Crossing,2444,New South Wales,Australia,,2022-12-27 09:43:35,2022-12-27 09:43:35,True
CID00012,12,Cammocke_12@mail.com,0571465035,Mile Cammocke,Male,1980-09-20,18 Jenna Center,2650,New South Wales,Australia,,2022-12-27 10:42:13,2022-12-27 10:42:13,True
CID00013,13,Skpsey_13@mail.com,0659325070,Kim Skpsey,Female,1977-12-03,3 Cordelia Plaza,2153,New South Wales,Australia,,2022-12-27 10:53:15,2022-12-27 10:53:15,True
CID00014,14,Assaf_14@mail.com,0498830437,Geoff Assaf,Male,1976-12-02,28 5th Center,4413,Queensland,Australia,,2022-12-27 11:19:33,2022-12-27 11:19:33,True
CID00015,15,Ginnelly_15@mail.com,0601150499,Trixi Ginnelly,Female,1978-06-10,52 Carey Alley,4740,Queensland,Australia,,2022-12-27 11:25:25,2022-12-27 11:25:25,True
CID00016,16,Klees_16@mail.com,0457063652,Garvin Klees,Male,1978-09-25,96 Texas Plaza,3218,Victoria,Australia,,2022-12-27 11:47:45,2022-12-27 11:47:45,True
CID00017,17,Zellmer_17@mail.com,0490662865,Fee Zellmer,Male,1973-09-30,48 Eagan Avenue,4868,Queensland,Australia,,2022-12-27 11:59:59,2022-12-27 11:59:59,True
CID00018,18,Sancraft_18@mail.com,0490884647,Mona Sancraft,Female,1968-06-22,9 Buell Park,4116,Queensland,Australia,,2022-12-27 13:07:16,2022-12-27 13:07:16,True
CID00019,19,Vanichkin_19@mail.com,0486131013,Marion Vanichkin,Female,1995-04-20,2951 Petterle Place,2756,New South Wales,Australia,,2022-12-27 13:25:57,2022-12-27 13:25:57,True
CID00020,20,Stonnell_20@mail.com,0653844173,Lurette Stonnell,Female,1977-11-09,78 Del Sol Hill,2535,New South Wales,Australia,,2022-12-27 14:51:12,2022-12-27 14:51:12,True
CID00021,21,Dwerryhouse_21@mail.com,0228374387,Laurie Dwerryhouse,Female,1985-12-22,54 Sage Plaza,4726,Queensland,Australia,,2022-12-27 15:58:27,2022-12-27 15:58:27,True
CID00022,22,Smalley_22@mail.com,0456000414,Hunfredo Smalley,Male,1979-04-16,38726 Ilene Crossing,2212,New South Wales,Australia,,2022-12-27 16:28:28,2022-12-27 16:28:28,True
